OrdNo,equipment_description,Carrier_Name,Created_Date,Route,LTDeliv
VE599253822022,TRAILER_CONTAINER20,SKB,2022-05-10,JABODETABEK-JAWA BARAT,0
VE603461592022,TRAILER_CONTAINER20,ACS,2022-06-28,JABODETABEK-JAWA BARAT,0
VE603461532022,TRAILER_CONTAINER20,ACS,2022-06-28,JABODETABEK-JAWA BARAT,0
VE602383412022,TRAILER_CONTAINER20,JI,2022-06-15,JABODETABEK-JAWA BARAT,0
VE602394452022,TRAILER_CONTAINER20,JI,2022-06-15,JABODETABEK-JAWA BARAT,0
VE603461462022,TRAILER_CONTAINER20,ACS,2022-06-28,JABODETABEK-JAWA BARAT,0
VE602383172022,TRAILER_CONTAINER20,JI,2022-06-15,JABODETABEK-JAWA BARAT,0
VE589379372022,TRAILER_CONTAINER20,SKB,2022-01-18,JABODETABEK-JAWA BARAT,0
VE589379112022,TRAILER_CONTAINER20,SKB,2022-01-18,JABODETABEK-JAWA BARAT,0
VE596239232022,TRAILER_CONTAINER20,JI,2022-04-05,JABODETABEK-JAWA BARAT,0
VE589379062022,TRAILER_CONTAINER20,SKB,2022-01-18,JABODETABEK-JAWA BARAT,0
VE589391922022,TRAILER_CONTAINER20,FTJ,2022-01-18,JABODETABEK-JAWA BARAT,0
VE596221292022,TRAILER_CONTAINER20,JI,2022-04-05,JABODETABEK-JAWA BARAT,0
VE596221192022,TRAILER_CONTAINER20,KTN,2022-04-05,JABODETABEK-JAWA BARAT,0
VE588916192022,TRAILER_CONTAINER20,SKB,2022-01-12,JABODETABEK-JAWA BARAT,0
VE589381582022,TRAILER_CONTAINER20,SKB,2022-01-18,JABODETABEK-JAWA BARAT,0
VE589380972022,TRAILER_CONTAINER20,SKB,2022-01-18,JABODETABEK-JAWA BARAT,0
VE589382022022,TRAILER_CONTAINER20,SKB,2022-01-18,JABODETABEK-JAWA BARAT,0
VE588916112022,TRAILER_CONTAINER20,SKB,2022-01-12,JABODETABEK-JAWA BARAT,0
VE589380432022,TRAILER_CONTAINER20,SKB,2022-01-18,JABODETABEK-JAWA BARAT,0
VE589386092022,TRAILER_CONTAINER20,SKB,2022-01-18,JABODETABEK-JAWA BARAT,0
VE590285172022,TRAILER_CONTAINER20,SKB,2022-01-27,JABODETABEK-JAWA BARAT,0
VE590285142022,TRAILER_CONTAINER20,SKB,2022-01-27,JABODETABEK-JAWA BARAT,0
VE588364892022,TRAILER_CONTAINER20,ACS,2022-01-05,JABODETABEK-JAWA BARAT,0
VE595147612022,TRAILER_CONTAINER20,JI,2022-03-23,JABODETABEK-JAWA BARAT,0
VE593610602022,TRAILER_CONTAINER20,FTJ,2022-03-07,JABODETABEK-JAWA BARAT,0
VE593556672022,TRAILER_CONTAINER20,JI,2022-03-04,JABODETABEK-JAWA BARAT,0
VE593539692022,TRAILER_CONTAINER20,FTJ,2022-03-04,JABODETABEK-JAWA BARAT,0
VE593556622022,TRAILER_CONTAINER20,JI,2022-03-04,JABODETABEK-JAWA BARAT,0
VE593539402022,TRAILER_CONTAINER20,FTJ,2022-03-04,JABODETABEK-JAWA BARAT,0
VE593538322022,TRAILER_CONTAINER20,FTJ,2022-03-04,JABODETABEK-JAWA BARAT,0
VE593538852022,TRAILER_CONTAINER20,FTJ,2022-03-04,JABODETABEK-JAWA BARAT,0
VE593637212022,TRAILER_CONTAINER20,KTN,2022-03-07,JABODETABEK-JAWA BARAT,0
VE593637162022,TRAILER_CONTAINER20,KTN,2022-03-07,JABODETABEK-JAWA BARAT,0
